Name,Location,Extension,Email,Title,Department,Dept ID
Albert Maro,Field,4357,amaro@company.com,"Director, Eastern US",Sales,1100
Anthony Dunn,HQ,4387,adunn@company.com,Social Media Director,Marketing,1200
Rich Harris,CO,4368,rharris@company.com,Principal Developer,Engineering,1300
Glen Neal,HQ,4398,gneal@company.com,HR Admin,Operations,1400
Kristine Arnold,Field,4352,karnold@company.com,Field Rep,Sales,1100
Tim Salazaar,HQ,4367,tsalazaar@company.com,Website Admin,Marketing,1200
Belina Joseph,CO,4311,bjoseph@company.com,Developer,Engineering,1300
Emilio Welch,HQ,4389,ewelch@company.com,Helpdesk Administrator,Operations,1400
Garrett Reeves,Field,4326,greeves@company.com,Field Rep,Sales,1100
Gayle Fleming,HQ,4334,gfleming@company.com,Intern,Marketing,1200
Elijah Burke,CO,4333,eburke@company.com,Lead Developer,Engineering,1300
Karthik Patel,HQ,4398,kpatel@company.com,Facilities,Operations,1400
Laxman Sharma,HQ,4309,lsharma@company.com,"VP, Sales",Sales,1100
Kamal Mullur,HQ,4390,kmullur@company.com,Manager,Marketing,1200
